Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,SEC filings
DINO,HF Sinclair,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas",reports
DKS,Dick's Sporting Goods,Consumer Discretionary,Specialty Stores,"Coraopolis, Pennsylvania",reports
DOC,Physicians Realty Trust,Real Estate,Health Care REITs,"Milwaukee, Wisconsin",reports
DOCS,Doximity,Health Care,,"San Francisco, California",reports
DT,Dynatrace,Information Technology,Application Software,"Waltham, Massachusetts",reports
DTM,DT Midstream,Energy,Oil & Gas Storage & Transportation,"Detroit, Michigan",reports
EEFT,Euronet Worldwide,Information Technology,Data Processing & Outsourced Services,"Leawood, Kansas",reports
EGP,EastGroup Properties,Real Estate,Industrial REITs,,reports
EHC,Encompass Health,Health Care,Health Care Facilities,"Birmingham, Alabama",reports
EME,Emcor,Industrials,Construction & Engineering,"Norwalk, Connecticut",reports
ENOV,Enovis,Health Care,Health Care Equipment,"Wilmington, Delaware",reports
ENR,Energizer,Consumer Staples,Household Products,"Town and Country, Missouri",reports
ENS,EnerSys,Industrials,Electrical Components & Equipment,"Reading, Pennsylvania",reports
ENV,Envestnet,Information Technology,Application Software,"Chicago, Illinois",reports
EPR,EPR Properties,Real Estate,Specialized REITs,"Kansas City, Missouri",reports
ESAB,ESAB,Industrials,Industrial Machinery,"North Bethesda, Maryland",reports
ESNT,Essent Group Ltd.,Financials,Thrifts & Mortgage Finance,,reports
ETRN,Equitrans Midstream,Energy,Oil & Gas Storage & Transportation,"Canonsburg, Pennsylvania",reports
EVR,Evercore,Financials,Investment Banking & Brokerage,"New York City, New York",reports
EWBC,East West Bancorp,Financials,Regional Banks,,reports
EXEL,Exelixis,Health Care,Biotechnology,"Alameda, California",reports
EXLS,EXL Service,Information Technology,IT Consulting & Other Services,"New York City, New York",reports
EXP,Eagle Materials,Materials,Construction Materials,"Dallas, Texas",reports
EXPO,Exponent,Industrials,Research & Consulting Services,"Menlo Park, California",reports
FAF,First American,Financials,Property & Casualty Insurance,"Santa Ana, California",reports
FCFS,FirstCash,Financials,Consumer Finance,"Fort Worth, Texas",reports
FBIN,Fortune Brands Innovations,Industrials,Building Products,"Deerfield, Illinois",reports
FCN,FTI Consulting,Industrials,Research & Consulting Services,"Washington, D.C.",reports
FFIN,First Financial Bankshares,Financials,Regional Banks,"Cincinnati, Ohio",reports
FHI,Federated Hermes,Financials,Asset Management & Custody Banks,"Pittsburgh, Pennsylvania",reports
FHN,First Horizon,Financials,Regional Banks,"Memphis, Tennessee",reports
FIVE,Five Below,Consumer Discretionary,Specialty Stores,"Philadelphia, Pennsylvania",reports
FL,Foot Locker,Consumer Discretionary,Apparel Retail,"New York City, New York",reports
FLO,Flowers Foods,Consumer Staples,Packaged Foods & Meats,"Thomasville, Georgia",reports
FLR,Fluor,Industrials,Construction & Engineering,"Irving, Texas",reports
FLS,Flowserve,Industrials,Industrial Machinery,"Irving, Texas",reports
FNB,FNB Corporation,Financials,Regional Banks,"Pittsburgh, Pennsylvania",reports
FOXF,Fox Factory,Consumer Discretionary,Auto Parts & Equipment,"Duluth, Georgia",reports
FR,First Industrial Realty Trust,Real Estate,Industrial REITs,"Chicago, Illinois",reports
FYBR,Frontier Communications,Communication Services,Integrated Telecommunication Services,"Norwalk, Connecticut",reports
G,Genpact,Information Technology,IT Consulting & Other Services,"New York City, New York",reports
GATX,GATX,Industrials,Construction Machinery & Heavy Trucks,"Chicago, Illinois",reports
GBCI,Glacier Bancorp,Financials,Regional Banks,"Kalispell, Montana",reports
GEF,"Greif, Inc.",Materials,Metal & Glass Containers,"Delaware, Ohio",reports
GGG,Graco,Industrials,Industrial Machinery,"Minneapolis, Minnesota",reports
GHC,Graham Holdings,Consumer Discretionary,Education Services,"Arlington County, Virginia",reports
GME,GameStop,Consumer Discretionary,Computer & Electronics Retail,"Grapevine, Texas",reports
GMED,Globus Medical,Health Care,Health Care Equipment,"Audubon, Pennsylvania",reports
GNTX,Gentex,Consumer Discretionary,Auto Parts & Equipment,"Zeeland, Michigan",reports
GO,Grocery Outlet,Consumer Staples,Food Retail,"Emeryville, California",reports
GPK,Graphic Packaging,Materials,,"Atlanta, Georgia",reports
GPS,Gap,Consumer Discretionary,Apparel Retail,"San Francisco, California",reports
GT,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber,"Akron, Ohio",reports
GTLS,Chart Industries,Industrials,Industrial Machinery,,reports
GXO,GXO Logistics,Industrials,Air Freight & Logistics,"Greenwich, Connecticut",reports
HAE,Haemonetics,Health Care,Health Care Supplies,"Boston, Massachusetts",reports
HALO,Halozyme,Health Care,Life Sciences Tools & Services,"San Diego, California",reports
HE,Hawaiian Electric Industries,Utilities,Electric Utilities,"Honolulu, Hawaii",reports
HELE,Helen of Troy Limited,Consumer Discretionary,Household Appliances,"Hamilton, Bermuda",reports
HGV,Hilton Grand Vacations,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Orlando, Florida",reports
HIW,Highwoods Properties,Real Estate,Office REITs,,reports
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",reports
HOMB,Home BancShares,Financials,Regional Banks,"Conway, Arkansas",reports
HQY,HealthEquity,Health Care,Managed Health Care,"Draper, Utah",reports
HR,Healthcare Realty Trust,Real Estate,Health Care REITs,,reports
HRB,H&R Block,Consumer Discretionary,Specialized Consumer Services,"Kansas City, Missouri",reports
HTZ,Hertz,Industrials,Passenger Ground Transportation,"Estero, Florida",reports
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery,"Shelton, Connecticut",reports
HWC,Hancock Whitney,Financials,Regional Banks,"Gulfport, Mississippi",reports
HXL,Hexcel,Industrials,Aerospace & Defense,"Stamford, Connecticut",reports
IART,Integra Lifesciences Holdings,Health Care,Health Care Equipment,,reports
IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,"Greenwich, Connecticut",reports
IBOC,Intl Bancshares Corp,Financials,Regional Banks,"Laredo, Texas",reports
ICUI,ICU Medical,Health Care,Health Care Supplies,"San Clemente, California",reports
IDA,Idacorp,Utilities,Electric Utilities,"Boise, Idaho",reports
INGR,Ingredion,Consumer Staples,Agricultural Products,"Westchester, Illinois",reports
IPGP,IPG Photonics,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",reports
IRDM,Iridium Communications,Communication Services,Alternative Carriers,"McLean, Virginia",reports
IRT,IRT Living,Real Estate,Residential REITs,,reports
ITT,ITT,Industrials,Industrial Machinery,"Stamford, Connecticut",reports
JAZZ,Jazz Pharmaceuticals,Health Care,Pharmaceuticals,"Dublin, Ireland",reports
JBL,Jabil Circuit,Information Technology,Electronic Manufacturing Services,"St. Petersburg, Florida",reports
JBLU,JetBlue,Industrials,Airlines,"Long Island City, New York",reports
JEF,Jefferies,Financials,Multi-Sector Holdings,"New York City, New York",reports
JHG,Janus Henderson,Financials,Asset Management & Custody Banks,,reports
JLL,Jones Lang LaSalle,Real Estate,Real Estate Services,"Chicago, Illinois",reports
JWN,Nordstrom,Consumer Discretionary,Department Stores,"Seattle, Washington",reports
KBH,KB Home,Consumer Discretionary,Homebuilding,"Los Angeles, California",reports
KBR,KBR,Industrials,Diversified Support Services,"Houston, Texas",reports
KD,Kyndryl,Information Technology,IT Consulting & Other Services,"New York City, New York",reports
KEX,Kirby,Industrials,Marine,"Houston, Texas",reports
KMPR,Kemper,Financials,Multi-line Insurance,"Chicago, Illinois",reports
KNF,Knife River Corporation,Materials,Construction Materials,reports,
KNSL,Kinsale Capital Group,Financials,Property & Casualty Insurance,,reports
KNX,Knight-Swift,Industrials,Trucking,"Phoenix, Arizona",reports
KRC,Kilroy Realty Corp,Real Estate,Office REITs,,reports
KRG,Kite Realty Group Trust,Real Estate,Retail REITs,,reports
KSS,Kohl's,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",reports
